Unnamed: 0,elapsed_timestamp,elapsed_time,timestamp,right_wrist_angle,right_wrist_x_pos,right_wrist_y_pos,right_wrist_z_pos,right_elbow_angle,right_elbow_x_pos,right_elbow_y_pos,right_elbow_z_pos,right_shoulder_angle,right_shoulder_x_pos,right_shoulder_y_pos,right_shoulder_z_pos,left_wrist_angle,left_wrist_x_pos,left_wrist_y_pos,left_wrist_z_pos,left_elbow_angle,left_elbow_x_pos,left_elbow_y_pos,left_elbow_z_pos,left_shoulder_angle,left_shoulder_x_pos,left_shoulder_y_pos,left_shoulder_z_pos,middle_hip_angle,middle_shoulder_angle
299,9967.0,9.967,0:09.967,159.458,154,1162,-0.2812061905860901,179.114,192,984,-0.1134431883692741,38.786,237,770,-0.1655583381652832,144.41400000000002,647,1145,-0.4332331418991089,173.054,597,970,-0.2327088266611099,49.65599999999999,530,748,-0.2393999993801117,88.4769390914611,94.26416882181434
300,10000.0,10.0,0:10.000,159.62,154,1160,-0.3618936538696289,179.17800000000005,192,984,-0.1792509257793426,38.738,236,770,-0.1957147568464279,152.344,682,1124,-0.5802475810050964,173.79000000000002,609,961,-0.3128062486648559,54.74,529,749,-0.2515572607517242,88.80797007295446,94.21623398492208
301,10033.000000000002,10.033,0:10.033,159.948,154,1159,-0.4150404334068298,179.272,192,982,-0.2222646623849868,38.724,236,770,-0.227348655462265,159.796,722,1090,-0.6423789262771606,173.936,632,947,-0.3538397252559662,60.49,529,749,-0.2696932554244995,89.13906738077831,94.28787267590492
302,10067.0,10.067,0:10.067,160.38000000000002,153,1158,-0.4380293190479278,179.35000000000002,191,982,-0.2093928903341293,38.782,235,770,-0.22612264752388,167.838,749,1055,-0.6663757562637329,172.21200000000002,640,928,-0.3326491415500641,67.05199999999999,529,748,-0.2310271114110946,89.47016468860218,94.47849752202087
303,10100.0,10.1,0:10.099,160.886,153,1158,-0.4106458127498626,179.378,191,979,-0.1599540263414383,38.978,235,770,-0.1656648218631744,172.226,790,1033,-0.530658483505249,170.378,651,907,-0.2357411831617355,73.322,529,746,-0.1830452978610992,89.80092556382974,94.74299490439282
304,10133.0,10.133,0:10.132,161.602,153,1158,-0.273464024066925,179.33,190,979,-0.0995013266801834,39.216,235,770,-0.1225993409752845,174.83599999999998,821,980,-0.5297262668609619,169.18199999999996,666,880,-0.232006624341011,78.772,529,743,-0.1529440134763717,90.06547582785558,95.04220822723556
305,10167.0,10.167,0:10.166,162.41199999999998,153,1158,-0.1590441912412643,179.22,190,979,-0.0367879942059516,39.436,235,771,-0.1007172614336013,175.81,879,939,-0.3520815670490265,168.892,685,871,-0.1726327687501907,83.988,530,743,-0.1576247215270996,90.197569478308,95.37807363383472
306,10200.000000000002,10.2,0:10.200,163.03,153,1158,-0.1386826634407043,179.094,189,980,-0.0278717074543237,39.608,235,772,-0.0965518653392791,176.188,885,902,-0.3118279874324798,169.07999999999998,693,850,-0.1493950635194778,88.846,531,743,-0.1455180943012237,90.26342597107734,95.66644944230691
307,10233.0,10.233,0:10.233,163.49599999999998,152,1158,-0.0918674170970916,179.13600000000002,189,982,-0.028174789622426,39.714,235,773,-0.1123381927609443,176.57,905,871,-0.2746599018573761,169.576,705,834,-0.1637828350067138,92.83,532,742,-0.1612333357334137,90.32890614924622,95.86834353009483
308,10267.000000000002,10.267,0:10.267,163.76999999999998,152,1159,-0.122007168829441,179.324,189,983,-0.0229034945368766,39.788,235,773,-0.0893578678369522,177.502,910,838,-0.2435261458158493,171.27399999999997,713,813,-0.1293243020772934,96.136,534,741,-0.1287892460823059,90.32852983464576,96.07286979145412
