Unnamed: 0,elapsed_timestamp,elapsed_time,timestamp,right_wrist_angle,right_wrist_x_pos,right_wrist_y_pos,right_wrist_z_pos,right_elbow_angle,right_elbow_x_pos,right_elbow_y_pos,right_elbow_z_pos,right_shoulder_angle,right_shoulder_x_pos,right_shoulder_y_pos,right_shoulder_z_pos,left_wrist_angle,left_wrist_x_pos,left_wrist_y_pos,left_wrist_z_pos,left_elbow_angle,left_elbow_x_pos,left_elbow_y_pos,left_elbow_z_pos,left_shoulder_angle,left_shoulder_x_pos,left_shoulder_y_pos,left_shoulder_z_pos,middle_hip_angle,middle_shoulder_angle
463,15433.000000000002,15.433000000000002,0:15.433,160.076,447,1086,-0.4097674787044525,167.526,541,952,-0.2635930776596069,53.606,616,751,-0.2901332974433899,154.63,967,1186,-0.4686838984489441,179.826,940,994,-0.2944933772087097,35.886,909,770,-0.281069278717041,87.37241027792513,86.25464540236194
464,15467.0,15.467,0:15.467,165.23,425,1047,-0.4276600778102875,166.816,527,930,-0.2834171056747436,60.938,618,748,-0.3087685704231262,155.16199999999998,966,1185,-0.469068318605423,179.82,941,993,-0.2902039587497711,35.9,910,770,-0.2870000004768371,87.29215948444005,85.97172304127352
465,15500.0,15.5,0:15.500,167.664,360,1026,-0.4981826841831207,168.424,499,911,-0.3276382386684418,69.32600000000001,618,748,-0.3051713407039642,155.686,966,1185,-0.5136241316795349,179.806,941,993,-0.3128500580787658,35.862,911,770,-0.2900572419166565,87.27855610053184,85.72976275354489
466,15533.000000000002,15.533,0:15.533,164.62399999999997,331,985,-0.5603065490722656,170.17800000000005,481,884,-0.3522341251373291,77.45599999999999,620,747,-0.2960422933101654,156.118,966,1185,-0.580290675163269,179.798,941,992,-0.3524112701416015,35.82000000000001,911,770,-0.2936302125453949,87.40792199353078,85.53207289314525
467,15567.0,15.567,0:15.567,166.458,296,946,-0.4907498359680176,171.236,464,856,-0.3206186592578888,84.81000000000002,620,747,-0.2785783112049103,156.386,966,1185,-0.5659554600715637,179.866,941,992,-0.3507563471794128,35.726,911,770,-0.2897492349147796,87.46692490573032,85.37960891214031
468,15600.000000000002,15.6,0:15.600,168.64,277,871,-0.4992430508136749,172.22599999999997,457,829,-0.305131196975708,90.94,619,746,-0.2253762185573578,156.57200000000003,966,1186,-0.5355510711669922,179.85,941,992,-0.3369158208370209,35.604,911,770,-0.2517452538013458,87.59523384298649,85.18898406602433
469,15633.0,15.633,0:15.632,166.98600000000002,274,825,-0.5437400341033936,171.906,449,811,-0.297792375087738,95.52,618,744,-0.190551608800888,156.57600000000002,966,1186,-0.5206298232078552,179.786,940,992,-0.2949175536632538,35.432,911,770,-0.2119109034538269,87.80045441569517,85.00105405910006
470,15667.000000000002,15.667000000000002,0:15.667,164.794,230,795,-0.5298293232917786,171.24200000000002,435,790,-0.3011683821678161,99.072,617,743,-0.2044811248779297,156.518,966,1186,-0.4641028642654419,179.694,940,992,-0.2525311112403869,35.272000000000006,911,770,-0.2038477659225464,87.93902757882697,84.77438090489929
471,15700.000000000002,15.7,0:15.700,166.92800000000005,229,765,-0.5043905973434448,171.304,430,782,-0.2735643684864044,101.624,617,741,-0.1759954392910003,156.456,966,1185,-0.5264754891395569,179.534,939,993,-0.2676305770874023,35.086,910,769,-0.2050411254167556,87.9368329268634,84.58361631121713
472,15733.0,15.733,0:15.733,165.09,219,743,-0.4503771066665649,171.746,420,767,-0.2500815093517303,103.38200000000002,617,740,-0.174919918179512,156.42,966,1185,-0.4586925506591797,179.336,939,993,-0.2550952732563019,34.918,910,769,-0.2063712626695633,88.00570255771466,84.42859534337035
473,15767.000000000002,15.767,0:15.767,166.154,219,735,-0.436613529920578,171.368,414,762,-0.2455523461103439,103.768,617,740,-0.1735906600952148,156.39,965,1185,-0.4447497427463531,179.192,939,994,-0.2522510886192322,34.792,910,769,-0.2061794847249984,88.14613507338217,84.30880519153692
474,15800.0,15.8,0:15.800,165.94400000000002,216,738,-0.42810919880867,171.68,415,763,-0.2365028709173202,103.642,616,739,-0.1599455922842025,156.572,965,1185,-0.4516977369785309,179.19,938,994,-0.2533978521823883,34.7,909,769,-0.1963363885879516,88.21722676274786,84.27006204426041
475,15833.0,15.833,0:15.833,167.456,225,757,-0.4341232776641845,171.052,422,776,-0.2369180917739868,102.378,616,739,-0.1409232467412948,156.73200000000003,965,1184,-0.4445493221282959,179.258,938,994,-0.238614484667778,34.644000000000005,909,769,-0.1706831455230713,88.28831845211354,84.27006204426041
476,15867.0,15.867,0:15.867,168.278,227,780,-0.4269927144050598,169.63599999999997,427,784,-0.2294608354568481,99.92,616,739,-0.1460570394992828,156.79000000000002,964,1184,-0.4262405037879944,179.394,938,994,-0.2241532355546951,34.622,909,768,-0.1645291149616241,88.28831845211356,84.3088051915369
477,15900.0,15.9,0:15.900,170.29199999999997,264,793,-0.5313950777053833,169.932,443,797,-0.2342747747898101,96.486,616,739,-0.117484413087368,156.616,964,1183,-0.452457994222641,179.5,938,992,-0.2344476729631424,34.604,909,768,-0.1590544432401657,88.290540510628,84.42503377277245
478,15933.000000000002,15.933000000000002,0:15.933,171.17999999999998,282,824,-0.5066787004470825,170.596,458,820,-0.2375853657722473,92.478,616,740,-0.1380285620689392,156.386,964,1183,-0.4645363390445709,179.578,938,992,-0.2379268258810043,34.608,909,768,-0.1711802333593368,88.15010799496046,84.49877795916339
