Unnamed: 0,elapsed_timestamp,elapsed_time,timestamp,right_wrist_angle,right_wrist_x_pos,right_wrist_y_pos,right_wrist_z_pos,right_elbow_angle,right_elbow_x_pos,right_elbow_y_pos,right_elbow_z_pos,right_shoulder_angle,right_shoulder_x_pos,right_shoulder_y_pos,right_shoulder_z_pos,left_wrist_angle,left_wrist_x_pos,left_wrist_y_pos,left_wrist_z_pos,left_elbow_angle,left_elbow_x_pos,left_elbow_y_pos,left_elbow_z_pos,left_shoulder_angle,left_shoulder_x_pos,left_shoulder_y_pos,left_shoulder_z_pos,middle_hip_angle,middle_shoulder_angle
336,11200.000000000002,11.2,0:11.200,165.13799999999998,575,966,-0.0806000977754592,111.474,378,947,-0.284162700176239,14.602,331,706,-0.2735543251037597,164.7,514,1007,0.4012928009033203,116.912,367,956,0.5509713292121887,11.594,332,720,0.4729927480220794,150.2255799409616,16.48587193428574
337,11233.0,11.233,0:11.233,166.302,563,936,-0.0104972580447793,105.33599999999998,378,940,-0.2495424896478653,15.328,332,704,-0.256455659866333,163.75799999999998,505,988,0.4151020050048828,111.878,366,946,0.5615161061286926,16.864,334,720,0.4900490045547485,152.49397177657568,23.9106115119718
338,11267.000000000002,11.267,0:11.267,161.982,560,883,0.1010773181915283,98.064,378,939,-0.254186749458313,16.762,332,704,-0.2669127881526947,157.352,527,931,0.1289625167846679,88.62,392,943,0.4475823938846588,20.8,339,719,0.4709480106830597,152.68959689542498,37.15086967139158
339,11300.0,11.3,0:11.300,156.548,553,808,0.2898593544960022,90.764,384,940,-0.2044079452753067,18.454,329,705,-0.2719830274581909,155.294,523,847,-0.0706003308296203,71.632,430,922,0.3745931982994079,23.168,353,715,0.5030479431152344,146.99046917177597,54.07335578088085
340,11333.0,11.333,0:11.333,148.904,522,772,0.3368655443191528,84.092,389,939,-0.2035908848047256,20.386000000000003,326,706,-0.278046041727066,152.198,382,807,-0.1206005215644836,50.642,421,906,0.3210111558437347,24.21,355,710,0.4898667633533478,140.89842348526452,70.6483525111005
341,11367.0,11.367,0:11.367,141.66199999999998,502,752,0.3063819110393524,79.02799999999999,392,938,-0.1931038498878479,22.506,320,707,-0.2654570639133453,151.59,334,810,-0.1266239583492279,40.15599999999999,420,908,0.3028497695922851,26.516,364,708,0.4783030748367309,132.54124307056287,83.41114594989901
342,11400.0,11.4,0:11.400,133.14399999999998,493,744,0.2704175412654876,76.454,393,929,-0.19826240837574,24.122000000000003,317,708,-0.2590509057044983,146.036,373,803,-0.1110816523432731,34.232,407,908,0.3039133846759796,27.018,364,708,0.4719851315021515,129.09498379689722,87.93511893950709
343,11433.0,11.433,0:11.432,132.39,486,741,0.2922306060791015,75.912,394,925,-0.1823618412017822,24.962,316,708,-0.2446787804365158,144.446,468,832,-0.1065475940704345,48.23,452,912,0.3344797194004059,28.426,365,709,0.4923223555088043,126.7666709861394,89.73044214271783
344,11467.0,11.467,0:11.467,134.334,488,748,0.2953574359416961,77.056,394,925,-0.1922346800565719,25.202,315,708,-0.2522427439689636,140.06400000000002,483,821,-0.1351808309555053,58.57000000000001,452,909,0.3278928995132446,30.618,364,708,0.4882113337516784,126.76044656746714,90.21117390027489
345,11500.0,11.5,0:11.500,140.40400000000002,490,752,0.3005656003952026,79.112,394,925,-0.1886291354894638,24.962,314,709,-0.2530542314052582,135.358,501,803,-0.153327539563179,75.564,460,910,0.3184000253677368,33.718,365,708,0.4933890402317047,127.86154213906282,90.43151512331616
346,11533.000000000002,11.533,0:11.533,147.27800000000002,496,768,0.2952736914157867,84.358,390,928,-0.186164304614067,23.992,314,709,-0.2515252232551574,137.388,514,806,-0.137111410498619,83.19200000000001,457,911,0.3231995701789856,33.346,366,708,0.4996181428432464,128.87485900230882,89.75055873691747
347,11567.0,11.567,0:11.567,156.632,510,779,0.2908146381378174,90.856,389,931,-0.191405564546585,22.324,315,709,-0.2558987736701965,143.824,528,825,-0.1079930812120437,91.42,448,912,0.3315899968147278,30.124,367,708,0.4941067695617676,130.8417636861679,86.52169098086077
348,11600.000000000002,11.6,0:11.600,163.05800000000002,536,849,0.1629696786403656,98.296,383,931,-0.219494953751564,20.38,317,707,-0.2607393562793731,151.704,540,826,-0.0236330106854438,100.572,443,917,0.376485675573349,26.27,367,711,0.4948351383209228,134.16641920021902,81.31607667642666
349,11633.0,11.633,0:11.632,166.21999999999997,553,902,-0.1199715510010719,106.242,375,927,-0.2924070656299591,18.536,321,703,-0.2587606310844421,160.846,540,925,0.3123700618743896,108.756,400,919,0.522017240524292,21.596,359,714,0.4962662756443023,139.60324653723274,73.8188650902182
350,11667.0,11.667,0:11.666,167.214,557,951,-0.13333460688591,113.506,372,927,-0.3074219226837158,16.66,323,703,-0.268611878156662,168.83800000000002,541,988,0.4292722344398498,114.46,392,933,0.584753692150116,16.119999999999997,351,716,0.4957017004489898,149.48298760823184,60.5535519809433
